playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.6074","null","null","306","306","null","null","0.1228","null","null","null","2.5348","0.12","4.2747","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","4.6042","null","null","204","204","null","null","0.1108","null","null","null","6.3541","2.3459","2.7639","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.2075","null","null","425","425","null","null","0.0415","null","null","null","0.4436","0","5.8775","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.153","null","null","325","325","null","null","0.0758","null","null","null","1.9906","0","5.1971","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","8.5624","null","null","109","109","null","null","0.3596","null","null","null","10.1467","5.4511","4.5318","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","13.6572","null","null","32","32","null","null","0.4841","null","null","null","15.3723","10.56","5.0259","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","0","null","null","476","874","null","null","0","null","null","null","0","0","null","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"367","null","Matt Flynn","QB","NO","QB","NO","null","0.2931","null","null","407","407","null","null","0.024","null","null","null","0.4442","0","5.2549","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","17.8702","null","null","8","8","null","null","0.2803","null","null","null","18.8681","16.034","2.6019","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","13.4556","null","null","33","33","null","null","0.827","null","null","null","15.2662","11.1789","4.6536","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","10.8601","null","null","56","56","null","null","0.3598","null","null","null","14.2713","7.1817","6.8676","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","8.1324","null","null","120","120","null","null","0.3415","null","null","null","8.9706","5.5","5.5902","null",
