playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.5834","null","null","390","134","null","null","0.0461","null","null","null","2.9826","0.49","5.2806","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","535","99","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","7.3123","null","null","208","68","null","null","0.1672","null","null","null","8.47","5.683","2.6005","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","1.1389","null","null","417","106","null","null","0.0545","null","null","null","1.63","0.4167","5.1845","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","20.1519","null","null","6","1","null","null","2.6401","null","null","null","22.6112","16.059","7.7373","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.253","null","null","413","38","null","null","0.2145","null","null","null","2.428","0","2.8897","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","11.0861","null","null","107","25","null","null","0.1222","null","null","null","12.8139","6.7094","5.0555","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","5.3663","null","null","272","57","null","null","0.0542","null","null","null","6.2446","3.45","1.8926","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.1314","null","null","10","6","null","null","0.1888","null","null","null","20.7685","17.74","5.47","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","5.6978","null","null","258","29","null","null","0.3217","null","null","null","7.143","3.33","2.5812","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","535","67","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","17.7171","null","null","20","14","null","null","0.3567","null","null","null","18.6934","16.694","2.9511","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","9.8769","null","null","136","50","null","null","0.1403","null","null","null","11.0932","6.5117","4.1293","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","18.134","null","null","16","2","null","null","1.3038","null","null","null","19.4856","16.27","6.6685","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","14.9871","null","null","51","8","null","null","0.2738","null","null","null","15.9942","13.05","6.7609","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","11.6914","null","null","94","20","null","null","0.0441","null","null","null","12.8874","7.8718","5.3548","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","4.8375","null","null","291","36","null","null","0.2079","null","null","null","6.562","1.7692","5.1751","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","12.8928","null","null","71","5","null","null","0.2441","null","null","null","14.7029","11.46","5.884","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","535","99","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","535","99","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","9.804","null","null","137","51","null","null","0.3166","null","null","null","11.0025","7.8","2.8972","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","1.101","null","null","421","71","null","null","0.0045","null","null","null","2.22","0.02","2.4363","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","13.1991","null","null","69","25","null","null","0.2167","null","null","null","15.3233","11.17","4.4949","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","9.3055","null","null","144","53","null","null","0.355","null","null","null","9.909","8.0949","4.2483","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","12.0968","null","null","88","18","null","null","0.251","null","null","null","13.2966","8.4","5.6161","null",
"4381","null","Garrett Hartley","K","PIT","K","PIT","null","0","null","null","535","33","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","3.554","null","null","323","77","null","null","0.0626","null","null","null","5.623","1.9591","3.0756","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0.2565","null","null","502","158","null","null","0.0265","null","null","null","0.4086","0","6.4374","null",
"71217","null","Kenny Britt","WR","STL","WR","STL","null","8.9711","null","null","151","54","null","null","0.3118","null","null","null","10.0954","6.897","2.3308","null",
"71247","null","James Casey","TE","DEN","TE","DEN","null","1.2539","null","null","412","69","null","null","0.1165","null","null","null","1.3324","0.4006","5.3668","null",
"71255","null","Chase Coffman","TE","FA","TE","FA","null","0","null","null","535","99","null","null","0","null","null","null","0","0","null","null",
"71265","null","Jared Cook","TE","STL","TE","STL","null","8.7927","null","null","155","18","null","null","0.2538","null","null","null","10.2745","5.8962","3.3548","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","10.3176","null","null","124","45","null","null","0.1018","null","null","null","12.2669","7.178","4.515","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","8.4504","null","null","170","17","null","null","0.105","null","null","null","9.6622","6.9553","3.6567","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","11.4066","null","null","101","24","null","null","0.366","null","null","null","13.5627","7.67","5.2052","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","2.0416","null","null","372","62","null","null","0.2648","null","null","null","2.9972","0.9","5.6264","null",
"71435","null","John Phillips","TE","FA","TE","FA","null","0.7771","null","null","446","76","null","null","0.022","null","null","null","1.1738","0.01","4.9667","null",
"79555","null","Arian Foster","RB","HOU","RB","HOU","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","535","67","null","null","0","null","null","null","0","0","null","null",
"79563","null","Shonn Greene","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","SD","TE","SD","null","3.8738","null","null","317","43","null","null","0.233","null","null","null","6.7489","0.923","16.4452","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","13.5561","null","null","62","11","null","null","0.407","null","null","null","16.2173","10.73","6.4499","null",
"79619","null","Knowshon Moreno","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"79625","null","Bear Pascoe","TE","FA","TE","FA","null","0","null","null","535","99","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0.4633","null","null","480","129","null","null","0.1284","null","null","null","0.8873","0.03","6.5589","null",
"79858","null","Mark Sanchez","QB","PHI","QB","PHI","null","1.465","null","null","399","36","null","null","0.209","null","null","null","2.824","-0.0689","3.6009","null",
